Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,# Major Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,# Major Penalty Run 2,Total Time Run 2,Best Time,Score
1,60,Rochester Institute of Technology,RIOT RACING,62.254,0,0,62.254,62.137,0,0,62.137,62.137,70
2,48,Cornell Univ,Cornell Baja Racing,64.777,0,0,64.777,66.449,0,0,66.449,64.777,68.02
3,26,Ecole de Technologie Superieure,Baja ETS,83.881,0,0,83.881,68.902,0,0,68.902,68.902,64.92
4,16,Case Western Reserve Univ,CWRU Motorsports,83.098,2,0,87.098,71.695,0,0,71.695,71.695,62.82
5,96,Purdue Univ - W Lafayette,Purdue Baja Racing,73.576,0,0,73.576,0,3,0,--DNF--,73.576,61.41
6,59,Univ of Michigan - Ann Arbor,Michigan Baja Racing,71.164,3,0,77.164,71.499,2,0,75.499,75.499,59.96
7,58,West Virginia Univ,Mountaineers,84.367,0,0,84.367,,,,,84.367,53.3
8,44,Michigan Tech Univ,Blizzard Baja Racing,80.574,1,0,--DNF--,82.896,1,0,84.896,84.896,52.91
9,34,North Carolina State Univ - Raleigh,Pack Motorsports,77.712,5,0,87.712,75.26,0,0,--DNF--,87.712,50.79
10,19,McMaster Univ,McMaster Baja Racing,105.946,0,0,--DNF--,84.708,6,0,96.708,96.708,44.04
11,46,Iowa State Univ,Cyclone Off-Road Racing,120.124,2,0,--DNF--,96.244,1,0,98.244,98.244,42.88
12,83,Michigan State University,MSU Baja Racing,89.991,6,0,101.991,89.024,5,0,99.024,99.024,42.3
13,28,Cincinnati State Technical Comm College,Cincy Baja,136.504,0,0,136.504,91.351,4,0,99.351,99.351,42.05
14,99,California Polytechnic State Univ-SLO,Cal Poly Racing,32.182,0,0,--DNF--,96.574,3,0,102.574,102.574,39.63
15,70,Univ of Missouri - Kansas City,Roo Racing,92.718,6,0,104.718,,,,,104.718,38.02
16,95,Johns Hopkins Univ,Blue Jay Racing,105.417,3,0,111.417,117.087,0,0,--DNF--,111.417,32.99
17,85,Ohio Univ,Bobcat Baja,120.333,3,0,126.333,101.889,5,0,111.889,111.889,32.63
18,31,Univ of Wisconsin - Madison,Badger Racing,97.123,3,0,--DNF--,96.501,8,0,112.501,112.501,32.18
19,80,Oklahoma Christian Univ,OC Baja Racing,18.992,0,0,--DNF--,95.47,11,0,117.47,117.47,28.44
20,79,Univ of Wisconsin - Platteville,Pioneer Racing,177.497,0,0,--DNF--,137.328,0,0,137.328,137.328,13.53
21,64,Bucknell Univ,Bucknell Baja,0,0,0,--DNF--,436.132,0,0,436.132,436.132,0
,14,Purdue Univ - Northwest,Purdue NW Baja Racing,,,,,,,,,,0
,15,Clarkson University,Golden Knights Racing,,,,,,,,,,0
,17,St Clair County Community College,SC4 Baja,,,,,,,,,,0
,18,Rowan Univ,Rowan Motorsports,,,,,,,,,,0
,20,Tennessee Tech Univ,TN Tech Baja,,,,,,,,,,0
,21,Univ of Central Florida,Knights Racing,,,,,,,,,,0
,22,Univ of Maryland - Baltimore County,UMBC Racing,,,,,,,,,,0
,25,Univ of Maryland - College Park,Terps Racing Baja,,,,,,,,,,0
,27,Western Michigan Univ,Bronco BAJA,,,,,,,,,,0
,29,McGill Univ,McGill Baja Racing,,,,,,,,,,0
,30,Arkansas State Univ,Red Wolf Riders,,,,,,,,,,0
,32,Louisiana State Univ,Baja Bengals,,,,,,,,,,0
,36,Univ of Rochester,Yellow Jacket Racing,,,,,,,,,,0
,37,Cleveland State Univ,Vikings Racing,,,,,,,,,,0
,40,Virginia Military Inst,VMI Baja,,,,,,,,,,0
,43,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,,,,,,,,,,0
,45,Univ of Pittsburgh - Johnstown,Steel Panther Racing,,,,,,,,,,0
,47,Missouri University of Science and Tech,Miner Baja,,,,,,,,,,0
,49,Union College,Union College BAJA Racing,,,,,,,,,,0
,50,Universidad Autonoma Estado Mexico,Sara Juana RT,,,,,,,,,,0
,51,Pittsburg State University,PSU Gorilla Racing,,,,,,,,,,0
,52,Milwaukee School of Engrg,MSOE BAJA,,,,,,,,,,0
,53,Northeastern Univ,Baja SAE Northeastern,,,,,,,,,,0
,54,Lamar Univ,Baja-ma Mama’s,,,,,,,,,,0
,55,Northwestern Univ,MotorCats,,,,,,,,,,0
,56,Pennsylvania College of Technology,PCT Baja,,,,,,,,,,0
,61,Univ of Calif - Los Angeles,Bruin Racing Baja,,,,,,,,,,0
,62,Centro Universitario Da FEI,Equipe FEI Baja,,,,,,,,,,0
,63,Georgia Institute of Technology,GT Off-Road,,,,,,,,,,0
,65,Embry-Riddle Aero Univ - Daytona Beach,ERAU Women’s Baja,,,,,,,,,,0
,66,Concordia University,Concordia Baja Racing,,,,,,,,,,0
,67,Lehigh Univ,Lehigh Engineers,,,,,,,,,,0
,68,Wright State Univ,Raider Racing,,,,,,,,,,0
,69,SUNY - Buffalo,UB Motorsports,,,,,,,,,,0
,73,Southern Illinois Univ - Edwardville,Cougar Baja,,,,,,,,,,0
,74,Harding Univ,Bison Baja,,,,,,,,,,0
,75,Lipscomb Univ,Lipscomb Baja,,,,,,,,,,0
,76,Youngstown State Univ,Penguin Baja Racing,,,,,,,,,,0
,77,Univ of Tennessee-Knoxville,UTK Baja,,,,,,,,,,0
,81,Ferris State University,Ferris State Baja Racing Club,,,,,,,,,,0
,82,Univ of Alabama - Tuscaloosa,Bama Racing,,,,,,,,,,0
,84,Georgia Southern Univ,Eagle Motorsports,,,,,,,,,,0
,88,Univ of Southern Indiana,Screaming Eagle Racing,,,,,,,,,,0
,93,Univ of Calgary,Schulich Off Road,,,,,,,,,,0
,94,Queen's Univ,Queen's baja SAE,,,,,,,,,,0
,98,Univ of San Diego,Torero Racing,,,,,,,,,,0
,104,Univ of Notre Dame,Irish Racing,,,,,,,,,,0
,106,Universidade Federal de Pernambuco,Mangue Baja Tecnoferr,,,,,,,,,,0
,110,Marquette Univ,Marquette Eagle Racing,,,,,,,,,,0
,111,University of Mount Union,Mount Union,,,,,,,,,,0